model,setting,horizon,station,MAE,RMSE,R2,MAPE,spike_MAE,spike_RMSE,spike_recall,n,n_spike
gru,global,1,Aotizhongxin,9.722745929539368,17.77845617479101,0.9604693987004347,0.16823007433660217,14.705676165494053,24.252163386734978,0.9386989157631359,5808,2398
gru,global,1,Changping,9.564835662684164,17.59266099401357,0.9486670039179065,0.18786869716516402,15.645049413045248,25.60051653705413,0.928928928928929,5808,1998
gru,global,1,Dingling,8.491403383985366,16.83903138851314,0.9554731943935543,0.17985549128824277,14.071012616342543,24.460277299257598,0.9441282979824107,5808,1933
gru,global,1,Dongsi,10.655348455281954,20.768225853816077,0.9547381023226134,0.15830964623019864,15.495124832681466,25.82617578253623,0.952972159518435,5808,2658
gru,global,1,Guanyuan,10.627210475196524,19.399535798897542,0.9553406342884406,0.17464895168666278,15.37503543774691,24.99755724237836,0.9468126710989441,5808,2557
gru,global,1,Gucheng,10.262492103681748,19.785671605561497,0.9575562262836638,0.16824855257537735,15.379517462455105,26.231887961178153,0.9381977671451356,5808,2508
gru,global,1,Huairou,8.20179734873706,17.28319283275896,0.9449866342732895,0.16700490058956213,13.442584752192326,24.979462142424183,0.9458775923115832,5808,1977
gru,global,1,Nongzhanguan,9.875646218123844,18.106187937253136,0.9634247090727743,0.16429551140165566,14.72373525846736,24.489087740922248,0.9450461291616526,5808,2493
gru,global,1,Shunyi,9.325973183655542,17.976966289878405,0.9581665756894804,0.1608768565048732,14.77420910607652,24.550832845629454,0.9447561501942167,5808,2317
gru,global,1,Tiantan,9.782853257885977,17.463358990628453,0.9625969144839406,0.1717125339013126,13.723478148668216,21.924300306310258,0.9393075356415479,5808,2455
gru,global,1,Wanliu,9.392657941366359,17.6390577143023,0.9592376208541233,0.1699887731913305,13.594030254586524,22.029586974025378,0.9454469156525388,5808,2383
gru,global,1,Wanshouxigong,10.4303789224178,21.691345551510246,0.9516744008983603,0.16610346630990097,15.06860253529519,25.101060378640323,0.9448757763975155,5808,2576
gru,global,6,Aotizhongxin,31.52332142881334,52.54739064736537,0.6548754291874452,0.6399232917376432,43.36297315672301,62.74565107217054,0.7981651376146789,5803,2398
gru,global,6,Changping,26.325690983863158,46.363066361931274,0.6436062177510544,0.6393292281946985,38.329767687304006,57.03571061757155,0.8193193193193193,5803,1998
gru,global,6,Dingling,27.479737483775146,46.79609896069689,0.6562489650487063,0.6383753951874667,41.26668309203344,58.12341455483201,0.7961717537506466,5803,1933
gru,global,6,Dongsi,35.5110974670915,58.799939050805065,0.6373920194913723,0.6767537213602193,44.9893923229163,66.19867349251902,0.882994732881866,5803,2658
gru,global,6,Guanyuan,33.413771146662214,54.71642536304431,0.6449277802234588,0.6787504244785095,43.10053834553384,61.75929873327012,0.8639030113414157,5803,2557
gru,global,6,Gucheng,33.81353573862405,57.5448200457422,0.6411731443650728,0.6895018080116071,45.25720248914411,68.10358151882915,0.8213716108452951,5803,2508
gru,global,6,Huairou,25.04963850461469,42.788388989746956,0.6630240700522761,0.5238944430098831,39.268483171091574,55.75498730630346,0.7824987354577643,5803,1977
gru,global,6,Nongzhanguan,33.82593680997563,55.66112065470119,0.6545408355712348,0.6383314143597755,45.59108659917936,65.55547565383135,0.8383473726434015,5803,2493
gru,global,6,Shunyi,30.176222145649845,51.75342670812479,0.6535761477419577,0.5559568767191218,44.64425900298901,66.70775323286398,0.808041504539559,5803,2313
gru,global,6,Tiantan,31.682848241931914,52.06571313580395,0.6677220018671072,0.6269779479082009,43.26737043765315,61.6754706651584,0.8142566191446029,5803,2455
gru,global,6,Wanliu,32.3378641107833,52.955799386593746,0.6328101191089723,0.6287217042061176,44.15334311744219,62.77843178414881,0.8052874527906001,5803,2383
gru,global,6,Wanshouxigong,34.467164911444016,58.00994988884843,0.6545817376538856,0.6793005377227588,45.62053586681437,68.30415862541902,0.8396739130434783,5803,2576
gru,multi,1,Aotizhongxin,9.461326865125294,16.372769622162824,0.9664733908562051,0.17313947304867955,13.529218446224109,22.0706013952039,0.9532944120100083,5808,2398
gru,multi,1,Changping,9.768403215513413,17.13043155278963,0.9513290130843495,0.20629138924675827,15.072029136680626,24.564923634282525,0.9384384384384384,5808,1998
gru,multi,1,Dingling,9.376987591262692,17.459434514332262,0.9521317364503793,0.2015408893525497,15.134336847501658,25.221984714351038,0.9456802897051215,5808,1933
gru,multi,1,Dongsi,10.23461992484479,19.312060319872337,0.9608626712062169,0.1501197542011404,14.801385919701524,23.857570061489255,0.952972159518435,5808,2658
gru,multi,1,Guanyuan,10.00871716517719,18.054912376795563,0.9613169557441645,0.164841876936732,14.283246787395335,22.96327899565977,0.9503324208056316,5808,2557
gru,multi,1,Gucheng,9.745114700853332,18.443599053860876,0.9631189104696543,0.16629765521734502,14.09739206852525,24.059031546834547,0.9497607655502392,5808,2508
gru,multi,1,Huairou,8.118469971927402,16.454810287076103,0.9501338287626422,0.17014671791322192,12.975076388878598,23.579948713929802,0.9327263530601922,5808,1977
gru,multi,1,Nongzhanguan,9.315413741697622,16.72744282791107,0.9687828788499987,0.15235889574460673,13.93093912313609,22.874347434733306,0.9422382671480144,5808,2493
gru,multi,1,Shunyi,9.566629086644197,17.399693952294964,0.9608101296828698,0.1675019152534439,14.83547781004595,23.58588284401032,0.9559775571860164,5808,2317
gru,multi,1,Tiantan,9.555090960720682,16.081843241559035,0.9682807057614344,0.16860035992637076,13.218890798844534,20.388684528345355,0.9494908350305499,5808,2455
gru,multi,1,Wanliu,9.086931631256398,16.316179751032784,0.9651224697463052,0.16952005726272457,12.73933470034069,20.082115330502763,0.9576164498531263,5808,2383
gru,multi,1,Wanshouxigong,9.844793424790227,19.981499877233198,0.9589927703511093,0.15283469857492832,14.389016949612161,23.59376305759242,0.9541925465838509,5808,2576
