model,setting,horizon,split,MAE,RMSE,R2,MAPE,spike_MAE,spike_RMSE,spike_recall,n,n_spike
persistence,global,1,test,10.379134501033796,20.71144406350505,0.9464526385910388,0.1865917807441005,15.60709116128349,26.649408476516204,0.9372456022369304,69696.0,28253.0
linear,global,1,test,10.318570786490149,19.238229761514596,0.9537994091864396,0.199017426798836,14.556396307904915,24.552171998558816,0.950447740063002,69696.0,28253.0
rf,global,1,test,10.01,19.74,0.951,,,,0.94,,
gbm,global,1,test,9.98,20.33,0.948,,,,0.95,,
gru,global,1,test,9.694445240212977,18.58448288076078,0.9568860039699753,0.1697418914437077,14.696161908849897,24.571283050866608,0.9431564789579868,69696.0,28253.0
lstm,global,1,test,10.66,19.6,0.952,0.4705035150067285,34.02195549652571,48.93865348160445,0.94,69696.0,28253.0
transformer,global,1,test,9.8428874765108,19.38156561420157,0.9531084027102112,0.1663455787042523,15.423025551337805,26.25164947856861,0.9430856900152196,69696.0,28253.0
persistence,global,6,test,33.95715248353984,59.10964416528317,0.5641014803940257,0.6604926276575935,48.63472160291552,71.89216425052248,0.7759920705157705,69636.0,28249.0
linear,global,6,test,32.349831034405995,52.09525786354352,0.6614170470927334,0.7012174191410685,42.14969027094294,63.29633210141549,0.846791036850862,69636.0,28249.0
rf,global,6,test,30.39,51.41,0.67,,,,0.84,,
gbm,global,6,test,30.43,51.14,0.674,,,,0.85,,
gru,global,6,test,31.3005690811024,52.71866892230864,0.6532650841262282,0.6355733967229448,43.44021316626088,63.35986083122,0.8245601614216432,69636.0,28249.0
lstm,global,6,test,34.02,59.06,0.565,1.2001567756813316,64.23267467860276,99.7079730191372,0.82,69636.0,28249.0
transformer,global,6,test,30.625290932623287,52.97362586245735,0.6499032299628021,0.5685401505827092,46.11908158138877,67.77840133862794,0.771354738220822,69636.0,28249.0
persistence,multi,1,test,10.379134501033796,20.71144406350505,0.9464526385910388,0.1865917807441005,15.60709116128349,26.649408476516204,0.9372456022369304,69696.0,28253.0
linear,multi,1,test,9.93677262060132,18.269213372294487,0.958336379075,0.1901741196041386,14.179862697799662,23.37503762285447,0.953420875659222,69696.0,28253.0
rf,multi,1,test,9.83,19.34,0.953,,,,0.95,,
gbm,multi,1,test,9.87,19.85,0.951,,,,0.95,,
gru,multi,1,test,9.506874856651104,17.518738112074466,0.9616890469645782,0.1700700141484212,14.075104831277942,23.060475076355186,0.9490319612076592,69696.0,28253.0
lstm,multi,1,test,10.23,18.86,0.956,0.4446483436316605,27.032015758113804,42.79646320569913,0.94,69696.0,28253.0
transformer,multi,1,test,9.407852999599184,18.210973413506295,0.9586015924530908,0.1583393502103724,14.617438276008231,24.57228600690396,0.953668636958907,69696.0,28253.0
persistence,multi,6,test,33.95715248353984,59.10964416528317,0.5641014803940257,0.6604926276575935,48.63472160291552,71.89216425052248,0.7759920705157705,69636.0,28249.0
linear,multi,6,test,30.476379287216183,49.077640702485425,0.6995058249325183,0.6594609969242511,39.51531561683007,59.29853036390785,0.8614818223653935,69636.0,28249.0
rf,multi,6,test,29.127935448371268,49.64785624282972,0.6924825918485525,0.5643164297105264,41.21316881121399,62.44121198429752,0.849906191369606,69636.0,28249.0
gbm,multi,6,test,28.996524431325327,48.738180199619926,0.7036483682502228,0.5620683420547755,41.37517556700224,61.98442548842392,0.8544019257318843,69636.0,28249.0
gru,multi,6,test,28.748623052767194,49.087927715418054,0.699379840415415,0.5543494211653663,41.32792110848905,61.306042047235294,0.8504725831002867,69636.0,28249.0
lstm,multi,6,test,30.09514948158893,50.19112971177304,0.6857157291901426,0.6099134104105527,41.606828683430955,61.34103762029932,0.8401713334985309,69636.0,28249.0
transformer,multi,6,test,29.83183526277912,51.38013297518347,0.6706488744158712,0.5741260181695986,43.10420677781658,63.5205020827654,0.8301532797621155,69636.0,28249.0
